page,pageviews,sessions,users
Editar Arquivo: Apresentação aula 1 - módulo 1 | TEMPLO.FCA | Classplay,0.0,0,2.0
Editar Arquivo: Workflow - Do Tom de Voz à Postagem | MundoAgents | Classplay,0.0,0,2.0
Editar Seção: Aula 2 - Criando com IA: Textos e Prompting Estratégico | FCA: Formação de Talentos | Classplay,0.0,0,2.0
Editar Seção: Clique no botão para acessar | Modelos de IA | Classplay,0.0,0,2.0
Editar Seção: Criando consistência de tom de voz e estilo para a sua marca com Custom Instructions | IA + Branding | Classplay,0.0,0,2.0
Editar Seção: Módulo 1 - Advanced Data Analysis | Análise de Dados | Classplay,0.0,0,2.0
Editar Seção: Módulo 1 - O que são prompts? Prompts Básicos | Engenharia de Prompts | Classplay,0.0,0,2.0
Editar Seção: Módulo 1 | 🔒 IA + Branding | Classplay,0.0,0,2.0
"""Editar Seção: Módulo 2 - Meta Prompts e Prompts Recursivos (COT",0.0,0,0.0
Editar Seção: Seção 3 | Modelos de IA | Classplay,0.0,0,2.0
Editar curso: BRASAS | Classplay,0.0,0,2.0
Editar curso: BRASASJOR.0925T1 | Classplay,0.0,0,2.0
Editar curso: Onboarding de Professores | Classplay,0.0,0,2.0
Editar curso: 🔒 IA Generativa no Marketing Digital | Classplay,0.0,0,2.0
Editar opções da categoria | Classplay,0.0,0,2.0
Editar seção: . | LLMS | Classplay,0.0,0,2.0
Editar seção: Aula 2 - Criando com IA: Textos e Prompting Estratégico | TEMPLO.FCA | Classplay,0.0,0,2.0
Editar seção: Brainstorm de Marketing com ChatGPT | OPMKT-FREE | Classplay,0.0,0,2.0
Editar seção: Clique no botão para acessar o Claude! | LLMS | Classplay,0.0,0,2.0
Editar seção: Criando consistência de tom de voz e estilo para a sua marca com Custom Instructions | MINI.BRANDING-FREE | Classplay,0.0,0,2.0
"""Editar seção: Crie tom de voz",0.0,0,0.0
Editar seção: Módulo 1 - Advanced Data Analysis | MINI-DADOS | Classplay,0.0,0,2.0
Editar seção: Módulo 1 - O que são prompts? Prompts Básicos | MINI-PROMPTS | Classplay,0.0,0,2.0
Editar seção: Módulo 1 | IntroIAG | Classplay,0.0,0,2.0
"""Editar seção: Módulo 2 - Meta Prompts e Prompts Recursivos (COT",0.0,0,0.0
Editar seção: Módulo 2 | IntroIAG | Classplay,0.0,0,2.0
Editar seção: Seção 3 | LLMS | Classplay,0.0,0,2.0
Editar Área de texto e mídia: Aplicando Framework de Agentes | MundoAgents | Classplay,0.0,0,2.0
Editar Área de texto e mídia: Aplicando Framework de Agents | MundoAgents | Classplay,0.0,0,2.0
Editar Área de texto e mídia: Aplicação: Como extrair o seu tom de voz e aplicar ao seu agent | MundoAgents | Classplay,0.0,0,2.0
"""Editar Área de texto e mídia: Aplicação: utilizando o seu agent para criar planejamento",0.0,0,0.0
Editar Área de texto e mídia: Aprenda como funcionam chatbots e ferramentas de I... | TEMPLO2FR.0125T1 | Classplay,0.0,0,2.0
Editar Área de texto e mídia: Aula 2 - Modulo 2 | TEMPLO.FCA | Classplay,0.0,0,2.0
Editar Área de texto e mídia: Como a IA generativa está revolucionando o mundo do marketing | IAG-MKTDigital | Classplay,0.0,0,2.0
Editar Área de texto e mídia: Como estudar? | MundoAgents | Classplay,0.0,0,2.0
Editar Área de texto e mídia: Continue a explorar as capacidades avançadas do Ch... | MINI-DADOS | Classplay,0.0,0,2.0
"""Editar Área de texto e mídia: Dados",0.0,0,0.0
Editar Área de texto e mídia: Descobrindo Agents: Arquitetura e Aplicações | MundoAgents | Classplay,0.0,0,2.0
Editar Área de texto e mídia: Desvendando os Mistérios da IA Generativa - Parte I | IntroIAG | Classplay,0.0,0,2.0
Editar Área de texto e mídia: Desvendando os Mistérios da IA Generativa - Primeira Sessão | IntroIAG | Classplay,0.0,0,2.0
Editar Área de texto e mídia: Dominando as Ferramentas Avançadas do ChatGPT | IntroIAG | Classplay,0.0,0,2.0
Editar Área de texto e mídia: Estudos de caso: Tendências de futuro no universo dos Agentes | MundoAgents | Classplay,0.0,0,2.0
